dsid,regime,n,trial,nu,wbic,afe0,adjusted_wbic,chains,draws,tune,mean_divergences,total_divergences,max_divergences,divergences_per_chain,chain_tree_depth,n_components
singular1,5000,5000,1,0.5614541586941655,12760.24633257288,12758.34105285867,12759.684878414186,1,1000,2500,0.0,0,0,[0],10,3
singular2,5000,5000,1,0.7434037612080652,11078.030443730455,11078.945042301266,11077.287039969247,1,1000,2500,0.0,0,0,[0],9,3
regular,5000,5000,1,1.867196843038108,14899.93452811914,14904.383632813267,14898.067331276101,1,1000,2500,0.0,0,0,[0],10,5
e-singular,5000,5000,1,1.53848239210539,13504.067637635459,13505.172829198522,13502.529155243354,1,1000,2500,0.0,0,0,[0],10,5
singular1,5000,5000,1,0.66166053867456,12767.027584341793,12762.59964945438,12766.365923803118,1,1000,2500,0.0,0,0,[0],10,5
singular2,5000,5000,1,0.7918469109632531,11083.403306302622,11083.203638896975,11082.611459391659,1,1000,2500,0.0,0,0,[0],10,5
regular,5000,5000,1,1.8490822007971728,14902.634668047867,14908.642229408975,14900.78558584707,1,1000,2500,0.0,0,0,[0],10,7
e-singular,5000,5000,1,1.523130382503635,13507.636286984369,13509.43142579423,13506.113156601865,1,1000,2500,0.0,0,0,[0],10,7
singular1,5000,5000,1,0.7083245407788712,12775.487192976057,12766.858246050087,12774.778868435278,1,1000,2500,0.0,0,0,[0],10,7
singular2,5000,5000,1,0.8170898844297587,11088.634803018771,11087.462235492683,11087.817713134342,1,1000,2500,0.0,0,0,[0],10,7
regular,5000,5000,1,1.9308236525165399,14906.032895697806,14912.900826004683,14904.10207204529,1,1000,2500,0.0,0,0,[0],10,9
e-singular,5000,5000,1,1.456665431608996,13510.948611721295,13513.690022389937,13509.491946289685,1,1000,2500,0.0,0,0,[0],10,9
singular1,5000,5000,1,0.6384310806562732,12781.36898516174,12771.116842645795,12780.730554081083,1,1000,2500,0.0,0,0,[0],10,9
singular2,5000,5000,1,0.7605698722804849,11092.747974757589,11091.720832088391,11091.987404885309,1,1000,2500,0.0,0,0,[0],10,9
regular,50,50,2,1.5507270825708295,150.70652041250517,152.9316413402454,149.15579332993434,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,2,1.2506093613414742,142.7304641528608,143.54476502722522,141.47985479151933,1,1000,2500,0.0,0,0,[0],7,2
singular1,50,50,2,0.48127572931702656,125.86053513029185,124.16916036586113,125.37925940097482,1,1000,2500,0.0,0,0,[0],8,2
singular2,50,50,2,0.45287451591139977,110.52170988637171,109.68673193417472,110.0688353704603,1,1000,2500,0.0,0,0,[0],7,2
regular,50,50,2,1.4773119205251866,151.02237573143833,153.90964709160244,149.54506381091315,1,1000,2500,0.0,0,0,[0],8,3
e-singular,50,50,2,1.2055621761042745,144.04452399173766,144.52277077858227,142.83896181563338,1,1000,2500,0.0,0,0,[0],8,3
singular1,50,50,2,0.4796725120204636,128.1794189414908,125.14716611721816,127.69974642947035,1,1000,2500,0.0,0,0,[0],9,3
singular2,50,50,2,0.450899624175829,112.34817553610284,110.66473768553175,111.89727591192701,1,1000,2500,0.0,0,0,[0],8,3
regular,50,50,2,1.426777547058978,152.73207042043848,155.8656585943165,151.3052928733795,1,1000,2500,0.0,0,0,[0],9,5
e-singular,50,50,2,0.9802377773574596,145.97009061252695,146.47878228129633,144.98985283516947,1,1000,2500,0.0,0,0,[0],9,5
singular1,50,50,2,0.5344266764573858,133.0054801562961,127.10317761993224,132.47105347983873,1,1000,2500,0.0,0,0,[0],9,5
singular2,50,50,2,0.46678528398824326,115.83136145761746,112.62074918824582,115.36457617362922,1,1000,2500,0.0,0,0,[0],8,5
regular,50,50,2,1.1705545064451786,153.4300378297593,157.82167009703056,152.25948332331413,1,1000,2500,0.0,0,0,[0],9,7
e-singular,50,50,2,0.9415985060807038,148.37641676719184,148.43479378401042,147.43481826111113,1,1000,2500,0.0,0,0,[0],8,7
singular1,50,50,2,0.5038240080342158,136.18344165786775,129.0591891226463,135.67961764983352,1,1000,2500,0.0,0,0,[0],9,7
singular2,50,50,2,0.48592352044633186,118.73335974102106,114.5767606909599,118.24743622057473,1,1000,2500,0.0,0,0,[0],8,7
regular,50,50,2,1.1035104862333518,154.46815353624822,159.77768159974465,153.36464305001488,1,1000,2500,0.0,0,0,[0],9,9
e-singular,50,50,2,0.8726189175248145,150.7200559122865,150.3908052867245,149.8474369947617,1,1000,2500,0.0,0,0,[0],9,9
singular1,50,50,2,0.49623278848347213,139.52075927739497,131.0152006253604,139.0245264889115,1,1000,2500,0.0,0,0,[0],9,9
singular2,50,50,2,0.4606628766370398,121.62130609662194,116.53277219367398,121.16064321998489,1,1000,2500,0.0,0,0,[0],8,9
regular,250,250,2,1.4336516172859635,728.5491585615338,729.1316991055972,727.1155069442478,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,2,1.30229421689257,685.1374614303345,688.0971132821306,683.8351672134419,1,1000,2500,0.0,0,0,[0],7,2
singular1,250,250,2,0.5234020506168839,634.569449075622,633.4346192085156,634.046047025005,1,1000,2500,0.0,0,0,[0],10,2
singular2,250,250,2,0.6513453530657022,554.9823115325587,554.3654344224393,554.330966179493,1,1000,2500,0.0,0,0,[0],7,2
regular,250,250,2,1.4157057527838592,730.0620579496186,730.5120643350629,728.6463521968348,1,1000,2500,0.0,0,0,[0],9,3
e-singular,250,250,2,1.3199136044604023,686.6985320577094,689.4774785115962,685.3786184532489,1,1000,2500,0.0,0,0,[0],8,3
singular1,250,250,2,0.5608869808444782,638.0347969653315,634.8149844379811,637.473909984487,1,1000,2500,0.0,0,0,[0],9,3
singular2,250,250,2,0.7123811980937518,556.9558134286452,555.7457996519048,556.2434322305514,1,1000,2500,0.0,0,0,[0],9,3
regular,250,250,2,1.4432167803921752,734.1236984362968,733.272794793994,732.6804816559046,1,1000,2500,0.0,0,0,[0],10,5
e-singular,250,250,2,1.2539885778725135,689.5546870170651,692.2382089705274,688.3006984391926,1,1000,2500,0.0,0,0,[0],9,5
singular1,250,250,2,0.5783281696314839,643.3772849757218,637.5757148969122,642.7989568060902,1,1000,2500,0.0,0,0,[0],9,5
singular2,250,250,2,0.651493241892854,560.6401097427442,558.5065301108359,559.9886165008514,1,1000,2500,0.0,0,0,[0],9,5
regular,250,250,2,1.2889163817857658,736.3362679290486,736.0335252529251,735.0473515472629,1,1000,2500,0.0,0,0,[0],10,7
e-singular,250,250,2,1.1174546583593543,692.6550622581323,694.9989394294585,691.5376075997729,1,1000,2500,0.0,0,0,[0],9,7
singular1,250,250,2,0.5600738491031766,650.3221056389341,640.3364453558435,649.7620317898309,1,1000,2500,0.0,0,0,[0],9,7
singular2,250,250,2,0.6426006806199919,564.7444016100292,561.2672605697671,564.1018009294091,1,1000,2500,0.0,0,0,[0],9,7
regular,250,250,2,1.3005430986646949,739.3903267345519,738.7942557118562,738.0897836358872,1,1000,2500,0.0,0,0,[0],10,9
e-singular,250,250,2,1.0952308638937658,696.2440459786067,697.7596698883896,695.1488151147129,1,1000,2500,0.0,0,0,[0],9,9
singular1,250,250,2,0.551985161974326,655.6412980848839,643.0971758147746,655.0893129229096,1,1000,2500,0.0,0,0,[0],10,9
singular2,250,250,2,0.633624641913133,568.6281603112482,564.0279910286982,567.994535669335,1,1000,2500,0.0,0,0,[0],9,9
regular,5000,5000,2,1.5267690743138425,14768.00671028738,14772.402964224902,14766.479941213067,1,1000,2500,0.0,0,0,[0],5,2
e-singular,5000,5000,2,1.550928443859564,13552.376634051483,13551.937493185336,13550.825705607624,1,1000,2500,0.0,0,0,[0],6,2
singular1,5000,5000,2,0.6967049388929248,12869.05967474945,12869.849619791568,12868.362969810556,1,1000,2500,0.0,0,0,[0],10,2
singular2,5000,5000,2,0.595891404391572,10980.051364342253,10979.945099031856,10979.455472937861,1,1000,2500,0.0,0,0,[0],9,2
regular,5000,5000,2,1.638904368660538,14769.663851713496,14774.532262522756,14768.024947344835,1,1000,2500,0.0,0,0,[0],10,3
e-singular,5000,5000,2,1.5849673843160461,13553.543255288436,13554.06679148319,13551.958287904119,1,1000,2500,0.0,0,0,[0],10,3
singular1,5000,5000,2,0.6822687193615249,12870.509605627618,12871.978918089422,12869.827336908256,1,1000,2500,0.0,0,0,[0],10,3
singular2,5000,5000,2,0.6754974231234843,10983.760676693308,10982.07439732971,10983.085179270185,1,1000,2500,0.0,0,0,[0],10,3
regular,5000,5000,2,1.8230274882844493,14774.101292469803,14778.790859118464,14772.278264981518,1,1000,2500,0.0,0,0,[0],10,5
e-singular,5000,5000,2,1.6548915532080515,13557.166760613176,13558.325388078898,13555.511869059968,1,1000,2500,0.0,0,0,[0],10,5
singular1,5000,5000,2,0.7790772963861406,12875.539338392213,12876.237514685132,12874.760261095827,1,1000,2500,0.0,0,0,[0],10,5
singular2,5000,5000,2,0.697397121841986,10988.99666385484,10986.33299392542,10988.299266732998,1,1000,2500,0.0,0,0,[0],9,5
regular,5000,5000,2,1.8380921096994456,14777.472483858124,14783.049455714172,14775.634391748425,1,1000,2500,0.0,0,0,[0],10,7
e-singular,5000,5000,2,1.520747991456381,13559.501808764446,13562.583984674606,13557.981060772989,1,1000,2500,0.0,0,0,[0],10,7
singular1,5000,5000,2,0.897131531554178,12882.888122524642,12880.49611128084,12881.990990993088,1,1000,2500,0.0,0,0,[0],10,7
singular2,5000,5000,2,0.7561652835126144,10995.283850485861,10990.591590521128,10994.527685202349,1,1000,2500,0.0,0,0,[0],10,7
regular,5000,5000,2,1.8807312246377095,14781.513411161346,14787.30805230988,14779.632679936709,1,1000,2500,0.0,0,0,[0],10,9
e-singular,5000,5000,2,1.514617284368871,13562.800121260014,13566.842581270314,13561.285503975645,1,1000,2500,0.0,0,0,[0],10,9
singular1,5000,5000,2,0.8298175719836023,12889.20924565966,12884.754707876547,12888.379428087677,1,1000,2500,0.0,0,0,[0],10,9
singular2,5000,5000,2,0.7587989273924354,11001.091808470666,10994.850187116836,11000.333009543274,1,1000,2500,0.0,0,0,[0],10,9
regular,50,50,3,1.3792503819612245,140.993378561353,144.4384516722929,139.6141281793918,1,1000,2500,0.0,0,0,[0],5,2
e-singular,50,50,3,1.0757640794746486,138.98888023109362,140.7446632534871,137.91311615161896,1,1000,2500,0.0,0,0,[0],7,2
singular1,50,50,3,0.7035374682796907,134.02918664391194,133.66885311247182,133.32564917563226,1,1000,2500,0.0,0,0,[0],9,2
singular2,50,50,3,0.7502580703200763,114.63847690881285,115.6284251708389,113.88821883849278,1,1000,2500,0.0,0,0,[0],7,2
regular,50,50,3,1.1380995668357141,141.218510593835,145.41645742364994,140.0804110269993,1,1000,2500,0.0,0,0,[0],8,3
e-singular,50,50,3,1.0240540711367057,139.94357189058056,141.72266900484414,138.91951781944385,1,1000,2500,0.0,0,0,[0],8,3
singular1,50,50,3,0.6569706374614561,136.05978323733655,134.64685886382887,135.4028125998751,1,1000,2500,0.0,0,0,[0],8,3
singular2,50,50,3,0.7381148865879089,116.14127290380212,116.60643092219593,115.40315801721421,1,1000,2500,0.0,0,0,[0],8,3
regular,50,50,3,1.1940584460849386,143.29765195593598,147.372468926364,142.10359350985104,1,1000,2500,0.0,0,0,[0],9,5
e-singular,50,50,3,0.8528005613087308,142.0969442807731,143.6786805075582,141.24414371946438,1,1000,2500,0.0,0,0,[0],8,5
singular1,50,50,3,0.6006925220896434,139.38654851003193,136.60287036654293,138.78585598794228,1,1000,2500,0.0,0,0,[0],9,5
singular2,50,50,3,0.5931452858494901,118.89116830471959,118.56244242491,118.2980230188701,1,1000,2500,0.0,0,0,[0],8,5
regular,50,50,3,1.0797826497642133,144.64538797056017,149.32848042907807,143.56560532079595,1,1000,2500,0.0,0,0,[0],9,7
e-singular,50,50,3,0.8489423894730743,145.277444568854,145.63469201027226,144.42850217938093,1,1000,2500,0.0,0,0,[0],8,7
singular1,50,50,3,0.5986813718145656,143.27998081050126,138.558881869257,142.6812994386867,1,1000,2500,0.0,0,0,[0],9,7
singular2,50,50,3,0.5347620476818695,121.10363984520713,120.51845392762408,120.56887779752526,1,1000,2500,0.0,0,0,[0],8,7
regular,50,50,3,1.04633164578659,146.34199795198808,151.28449193179216,145.2956663062015,1,1000,2500,0.0,0,0,[0],9,9
e-singular,50,50,3,0.8507150037866568,147.59699700449812,147.59070351298635,146.74628200071146,1,1000,2500,0.0,0,0,[0],8,9
singular1,50,50,3,0.574458432702006,146.44977921809343,140.51489337197108,145.8753207853914,1,1000,2500,0.0,0,0,[0],9,9
singular2,50,50,3,0.5099858889929304,123.57208222221574,122.47446543033816,123.06209633322281,1,1000,2500,0.0,0,0,[0],8,9
regular,250,250,3,1.673175172189831,748.8920752653349,750.082187901355,747.2189000931451,1,1000,2500,0.0,0,0,[0],5,2
e-singular,250,250,3,1.201366888231566,687.4455763459015,689.516216395239,686.24420945767,1,1000,2500,0.0,0,0,[0],7,2
singular1,250,250,3,0.7716867688257412,657.6187911048387,657.3891848506462,656.847104336013,1,1000,2500,0.0,0,0,[0],9,2
