dsid,regime,n,trial,rlct,hypers,name,chains,draws,tune,mean_divergences,total_divergences,max_divergences,divergences_per_chain,chain_tree_depth,duration
regular,50,50,3,1.3494897689810006,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",7,4.038260583009105
e-singular,50,50,3,1.693646909122514,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",9,7.700911541993264
regular,250,250,3,1.6543835628662706,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",7,5.390520458982792
e-singular,250,250,3,1.8240900855858688,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",9,7.8091646659886464
singular1,250,250,3,0.1583936104803574,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,13.363677459012251
regular,5000,5000,3,1.4257369699083395,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",5,34.88377004198264
e-singular,5000,5000,3,2.400780772487317,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",7,61.00231349997921
regular,50,50,3,1.3856387329789903,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",7,6.380798291997053
e-singular,50,50,3,1.524788119204632,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,7.740017417003401
singular1,50,50,3,1.165364099704104,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,9.438159666955473
regular,250,250,3,1.5177847595561795,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",5,6.597021292021964
e-singular,250,250,3,1.6502201975373552,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",9,8.406228124978952
singular1,250,250,3,0.9896724309695238,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,17.449131041008513
regular,5000,5000,3,1.3930671716943066,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",7,36.23294541699579
e-singular,5000,5000,3,1.5442257475812995,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",7,48.02528662496479
regular,50,50,4,1.5677074704349063,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",5,4.480094083992299
e-singular,50,50,4,1.436233946786157,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",9,7.480731957999524
singular1,50,50,4,1.643634134507061,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,7.851737332995981
regular,250,250,4,1.9270307285317865,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",6,5.063791666005272
e-singular,250,250,4,1.019037068337982,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,10.110244084033184
singular1,250,250,4,0.1562491022289513,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,13.917094083037227
regular,5000,5000,4,1.371782415879527,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",8,29.47767279099208
e-singular,5000,5000,4,0.6276427934110753,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",7,47.972312375030015
singular1,5000,5000,4,1.2248001886352493,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,209.66636070801167
singular2,5000,5000,4,0.419340885754574,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,168.03104425000492
regular,50,50,4,1.3327911847310745,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",5,4.537229750014376
e-singular,50,50,4,1.2483949483024763,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",9,7.238516875018831
singular1,50,50,4,1.1292266234333557,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",9,7.964043250016402
singular2,50,50,4,1.040598927332679,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",9,6.050911209022161
regular,250,250,4,1.4586939312309368,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",5,5.048487916996237
e-singular,250,250,4,1.4536752598344314,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",9,8.735658709018026
singular1,250,250,4,0.9472327151301744,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,16.36020679201465
singular2,250,250,4,1.0034173801966666,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,9.773750708031002
regular,5000,5000,4,1.5070474634467603,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",8,28.84053295798367
e-singular,5000,5000,4,1.5551981304442404,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",7,44.988939374976326
singular1,5000,5000,4,0.8609513825049738,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,175.71821154200006
singular2,5000,5000,4,0.845994102469482,"c=1,d=1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,182.02570662501967
regular,50,50,5,1.6324722942360603,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",6,7.656231917033438
e-singular,50,50,5,1.103847161000257,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",9,6.058879333024379
singular1,50,50,5,1.2910099163599045,"c=1,d=0.1",watanabe,4,1000,4000,0.0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",10,7.809414291987196
