ctrial,cFE,cbeta,cm,cn,cchain_size,cname
70,15.8519455718265,0.434294481903252,10,10,6000,naiveBIC(10)
71,16.2976283378856,0.434294481903252,-1,10,6000,AFE
71,16.0299792919839,0.434294481903252,0,10,6000,WBIC
71,15.7457008022958,0.434294481903252,1,10,6000,naiveBIC(1)
71,15.8226280249163,0.434294481903252,10,10,6000,naiveBIC(10)
72,16.2976330830683,0.434294481903252,-1,10,6000,AFE
72,16.0163413380251,0.434294481903252,0,10,6000,WBIC
72,15.8408411000065,0.434294481903252,1,10,6000,naiveBIC(1)
72,15.8082699348811,0.434294481903252,10,10,6000,naiveBIC(10)
73,16.2976301624466,0.434294481903252,-1,10,6000,AFE
73,16.0566963895876,0.434294481903252,0,10,6000,WBIC
73,15.7741681600589,0.434294481903252,1,10,6000,naiveBIC(1)
73,15.8308595634173,0.434294481903252,10,10,6000,naiveBIC(10)
74,16.2976299461482,0.434294481903252,-1,10,6000,AFE
74,16.0414373456708,0.434294481903252,0,10,6000,WBIC
74,15.8934457108915,0.434294481903252,1,10,6000,naiveBIC(1)
74,15.8423124259093,0.434294481903252,10,10,6000,naiveBIC(10)
75,16.2976259230316,0.434294481903252,-1,10,6000,AFE
75,16.041440024573,0.434294481903252,0,10,6000,WBIC
75,15.8781478795852,0.434294481903252,1,10,6000,naiveBIC(1)
75,15.8485413450405,0.434294481903252,10,10,6000,naiveBIC(10)
76,16.2976313003766,0.434294481903252,-1,10,6000,AFE
76,16.0237798331807,0.434294481903252,0,10,6000,WBIC
76,15.857047781563,0.434294481903252,1,10,6000,naiveBIC(1)
76,15.8400870629765,0.434294481903252,10,10,6000,naiveBIC(10)
77,16.2976260346188,0.434294481903252,-1,10,6000,AFE
77,16.0266537480947,0.434294481903252,0,10,6000,WBIC
77,15.8057317083693,0.434294481903252,1,10,6000,naiveBIC(1)
77,15.7815569212551,0.434294481903252,10,10,6000,naiveBIC(10)
78,16.2976311385156,0.434294481903252,-1,10,6000,AFE
78,16.019011475919,0.434294481903252,0,10,6000,WBIC
78,15.9248015952823,0.434294481903252,1,10,6000,naiveBIC(1)
78,15.8655479810421,0.434294481903252,10,10,6000,naiveBIC(10)
79,16.2976301746718,0.434294481903252,-1,10,6000,AFE
