trial,FE,beta,m,n,chain_size,name
18,76.6972505536705,0.255622218635331,0,50,10000,WBIC
19,77.6623689258789,0.255622218635331,0,50,10000,AFE
19,76.6826221275598,0.255622218635331,0,50,10000,WBIC
20,95.4825077702009,0.255622218635331,0,50,10000,AFE
20,76.650951718214,0.255622218635331,0,50,10000,WBIC
1,153.062484219753,0.217147240951626,0,100,2000,AFE
1,152.238061061671,0.217147240951626,0,100,2000,WBIC
2,153.062469281261,0.217147240951626,0,100,2000,AFE
2,152.283457289256,0.217147240951626,0,100,2000,WBIC
3,153.0624264632,0.217147240951626,0,100,2000,AFE
3,152.174049556129,0.217147240951626,0,100,2000,WBIC
4,153.062457864994,0.217147240951626,0,100,2000,AFE
4,152.331581887141,0.217147240951626,0,100,2000,WBIC
5,153.062541781677,0.217147240951626,0,100,2000,AFE
5,152.34538591749,0.217147240951626,0,100,2000,WBIC
6,153.062480329725,0.217147240951626,0,100,2000,AFE
6,152.059859142798,0.217147240951626,0,100,2000,WBIC
7,153.062552917954,0.217147240951626,0,100,2000,AFE
7,152.150427649867,0.217147240951626,0,100,2000,WBIC
8,195.175245219536,0.217147240951626,0,100,2000,AFE
8,152.06813556552,0.217147240951626,0,100,2000,WBIC
9,153.062434698851,0.217147240951626,0,100,2000,AFE
9,152.23559157439,0.217147240951626,0,100,2000,WBIC
10,153.062434870517,0.217147240951626,0,100,2000,AFE
10,152.037307485777,0.217147240951626,0,100,2000,WBIC
11,163.85345912964,0.217147240951626,0,100,2000,AFE
11,151.951518386594,0.217147240951626,0,100,2000,WBIC
12,170.057145397857,0.217147240951626,0,100,2000,AFE
12,152.114835058502,0.217147240951626,0,100,2000,WBIC
13,153.062437613811,0.217147240951626,0,100,2000,AFE
13,152.327211530202,0.217147240951626,0,100,2000,WBIC
14,153.062734538519,0.217147240951626,0,100,2000,AFE
14,152.007607948227,0.217147240951626,0,100,2000,WBIC
15,153.062534847918,0.217147240951626,0,100,2000,AFE
15,152.117410056539,0.217147240951626,0,100,2000,WBIC
16,153.062143605765,0.217147240951626,0,100,2000,AFE
16,152.085697423351,0.217147240951626,0,100,2000,WBIC
17,160.589770673945,0.217147240951626,0,100,2000,AFE
17,152.118287487981,0.217147240951626,0,100,2000,WBIC
18,153.062489752734,0.217147240951626,0,100,2000,AFE
18,152.365187382189,0.217147240951626,0,100,2000,WBIC
