ctrial,cFE,cbeta,cm,cn,cchain_size,cname
75,16.3065864842866,0.434294481903252,-1,10,6000,AFE
75,15.534444569466,0.434294481903252,0,10,6000,WBIC
75,15.7275472508716,0.434294481903252,1,10,6000,naiveBIC(1)
75,15.2265423508288,0.434294481903252,10,10,6000,naiveBIC(10)
76,16.6316098900677,0.434294481903252,-1,10,6000,AFE
76,15.5533973094597,0.434294481903252,0,10,6000,WBIC
76,15.2876064216877,0.434294481903252,1,10,6000,naiveBIC(1)
76,15.2397465001872,0.434294481903252,10,10,6000,naiveBIC(10)
77,16.3056976529239,0.434294481903252,-1,10,6000,AFE
77,15.5822626992528,0.434294481903252,0,10,6000,WBIC
77,15.2374444085459,0.434294481903252,1,10,6000,naiveBIC(1)
77,15.6524136573334,0.434294481903252,10,10,6000,naiveBIC(10)
78,16.3046994750832,0.434294481903252,-1,10,6000,AFE
78,15.5194877110103,0.434294481903252,0,10,6000,WBIC
78,15.2476155384841,0.434294481903252,1,10,6000,naiveBIC(1)
78,15.2400456762552,0.434294481903252,10,10,6000,naiveBIC(10)
79,16.3079658088999,0.434294481903252,-1,10,6000,AFE
79,15.5144730760907,0.434294481903252,0,10,6000,WBIC
79,15.2265157179587,0.434294481903252,1,10,6000,naiveBIC(1)
79,15.2435223654915,0.434294481903252,10,10,6000,naiveBIC(10)
80,16.6086761667499,0.434294481903252,-1,10,6000,AFE
80,15.5410507662111,0.434294481903252,0,10,6000,WBIC
80,15.2431495857085,0.434294481903252,1,10,6000,naiveBIC(1)
80,15.2489661105617,0.434294481903252,10,10,6000,naiveBIC(10)
81,16.309230489838,0.434294481903252,-1,10,6000,AFE
81,15.546645652933,0.434294481903252,0,10,6000,WBIC
81,15.3017534834103,0.434294481903252,1,10,6000,naiveBIC(1)
81,15.259282344209,0.434294481903252,10,10,6000,naiveBIC(10)
82,16.3056996632417,0.434294481903252,-1,10,6000,AFE
82,15.5208842538092,0.434294481903252,0,10,6000,WBIC
82,15.2871284278833,0.434294481903252,1,10,6000,naiveBIC(1)
82,16.181198062325,0.434294481903252,10,10,6000,naiveBIC(10)
83,16.3044891837247,0.434294481903252,-1,10,6000,AFE
83,15.5731381009587,0.434294481903252,0,10,6000,WBIC
83,20.2036572472905,0.434294481903252,1,10,6000,naiveBIC(1)
83,15.2634777149669,0.434294481903252,10,10,6000,naiveBIC(10)
84,16.3065359001806,0.434294481903252,-1,10,6000,AFE
84,15.5608754043366,0.434294481903252,0,10,6000,WBIC
84,15.2503253709022,0.434294481903252,1,10,6000,naiveBIC(1)
84,15.2652206103046,0.434294481903252,10,10,6000,naiveBIC(10)
85,16.9162339239396,0.434294481903252,-1,10,6000,AFE
85,15.5263836566754,0.434294481903252,0,10,6000,WBIC
85,15.3552437914579,0.434294481903252,1,10,6000,naiveBIC(1)
85,15.2052564250773,0.434294481903252,10,10,6000,naiveBIC(10)
86,16.3069310288038,0.434294481903252,-1,10,6000,AFE
86,15.5443546238689,0.434294481903252,0,10,6000,WBIC
86,15.2688270441621,0.434294481903252,1,10,6000,naiveBIC(1)
86,15.222292864219,0.434294481903252,10,10,6000,naiveBIC(10)
87,16.449328109561,0.434294481903252,-1,10,6000,AFE
87,15.512914165474,0.434294481903252,0,10,6000,WBIC
87,15.3227504664278,0.434294481903252,1,10,6000,naiveBIC(1)
87,15.2336805385564,0.434294481903252,10,10,6000,naiveBIC(10)
88,16.2996795603613,0.434294481903252,-1,10,6000,AFE
88,15.5371518757625,0.434294481903252,0,10,6000,WBIC
88,15.7728770629099,0.434294481903252,1,10,6000,naiveBIC(1)
88,15.2409694103735,0.434294481903252,10,10,6000,naiveBIC(10)
89,16.3099209605562,0.434294481903252,-1,10,6000,AFE
89,15.5230942151832,0.434294481903252,0,10,6000,WBIC
89,15.2334100993737,0.434294481903252,1,10,6000,naiveBIC(1)
89,15.2442688155543,0.434294481903252,10,10,6000,naiveBIC(10)
90,16.2960758637557,0.434294481903252,-1,10,6000,AFE
