trial,RLCT,beta,c,n,chain_size
3,0.72178432584654,0.12517807526075,0.75,400,4000
3,0.757350955964238,0.117243746675945,0.75,600,4000
3,0.870151619950445,0.110255288923202,0.75,900,4000
3,0.798347539725675,0.108573620475813,0.75,1000,4000
3,0.484771217728838,0.434294481903252,1,10,4000
3,0.726410834190744,0.255622218635331,1,50,4000
3,0.626733579997027,0.217147240951626,1,100,4000
3,0.759355331973548,0.199575491191355,1,150,4000
3,0.743423149117651,0.188739165817755,1,200,4000
3,0.724833152633897,0.181111487498706,1,250,4000
3,0.733684237729717,0.166904100347667,1,400,4000
3,0.693598893556423,0.156324995567926,1,600,4000
3,0.723921880681246,0.160911192494003,1,500,4000
3,0.897838115273799,0.147007051897603,1,900,4000
3,0.551909785778243,0.542868102379065,1.25,10,4000
3,0.828910621416805,0.319527773294164,1.25,50,4000
3,0.700507115822608,0.271434051189532,1.25,100,4000
3,0.72667057729894,0.249469363989194,1.25,150,4000
3,0.709143733309979,0.235923957272194,1.25,200,4000
3,0.785039076004939,0.226389359373382,1.25,250,4000
3,0.741948271536775,0.208630125434584,1.25,400,4000
3,0.693728118848819,0.201138990617503,1.25,500,4000
3,0.703163276096995,0.195406244459908,1.25,600,4000
3,0.723323762611483,0.190808223387741,1.25,700,4000
3,0.737840190218784,0.180956034126355,1.25,1000,4000
3,0.594083632028811,0.651441722854878,1.5,10,4000
3,0.860443922654593,0.383433327952997,1.5,50,4000
3,0.7409957133001,0.325720861427439,1.5,100,4000
3,0.889883059579954,0.299363236787033,1.5,150,4000
3,0.744718795086342,0.271667231248058,1.5,250,4000
3,0.788350702174133,0.250356150521501,1.5,400,4000
3,0.67094021744816,0.234487493351889,1.5,600,4000
3,0.717520454545303,0.228969868065289,1.5,700,4000
3,0.71837539916126,0.224395980067388,1.5,800,4000
3,0.879483029087132,0.217147240951626,1.5,1000,4000
3,0.580038931722104,0.760015343330691,1.75,10,4000
3,0.804239522618357,0.44733888261183,1.75,50,4000
3,0.663930632088005,0.380007671665345,1.75,100,4000
3,0.787912072010891,0.330293540181071,1.75,200,4000
3,0.828113005981567,0.316945103122735,1.75,250,4000
3,0.698939934424809,0.306813944566756,1.75,300,4000
3,0.83706354609937,0.273568742243871,1.75,600,4000
3,0.642129316343243,0.267131512742838,1.75,700,4000
3,0.824567291691683,0.257262340820805,1.75,900,4000
3,0.608841562581196,0.868588963806504,2,10,4000
3,0.823682183745235,0.511244437270663,2,50,4000
3,0.842604834218387,0.39915098238271,2,150,4000
3,0.667468183831844,0.37747833163551,2,200,4000
3,0.736721156340027,0.350644508076292,2,300,4000
3,0.667754777848685,0.321822384988005,2,500,4000
3,0.689976726382556,0.299194640089851,2,800,4000
3,0.655407965831053,0.305293157420386,2,700,4000
3,0.94348454992258,0.289529654602168,2,1000,4000
3,0.737848193856198,1.08573620475813,2.5,10,4000
3,0.860190801589888,0.639055546588329,2.5,50,4000
3,0.721192532102717,0.542868102379065,2.5,100,4000
3,0.760008053288523,0.498938727978388,2.5,150,4000
3,0.731309441336194,0.471847914544387,2.5,200,4000
3,0.833725165635102,0.452778718746764,2.5,250,4000
3,0.641048144525555,0.438305635095365,2.5,300,4000
3,0.616971540667264,0.402277981235006,2.5,500,4000
3,0.761056106105705,0.381616446775482,2.5,700,4000
3,0.797466568330458,0.36191206825271,2.5,1000,4000
3,0.732907811690288,0.373993300112313,2.5,800,4000
3,0.789491342250816,0.367517629744008,2.5,900,4000
3,0.75145153781927,2.17147240951626,5,10,4000
3,0.844088510875412,1.27811109317666,5,50,4000
3,0.995022254719074,1.08573620475813,5,100,4000
3,0.709371147364534,0.997877455956775,5,150,4000
3,0.879186467101683,0.905557437493528,5,250,4000
3,0.718511810144159,0.943695829088774,5,200,4000
3,0.741004588386398,0.876611270190731,5,300,4000
3,0.748964775114177,0.804555962470013,5,500,4000
3,0.746169563265723,0.747986600224627,5,800,4000
3,0.854411983431102,0.72382413650542,5,1000,4000
3,0.793429566544626,4.34294481903252,10,10,4000
3,0.904424846909087,2.55622218635331,10,50,4000
3,1.49781538690405,2.17147240951626,10,100,4000
3,0.727218109178145,1.99575491191355,10,150,4000
3,0.847557971168615,1.81111487498706,10,250,4000
3,0.882514020935167,1.88739165817755,10,200,4000
3,0.830027544987339,1.66904100347667,10,400,4000
3,0.950485466117569,1.60911192494003,10,500,4000
3,0.670760099259989,1.52646578710193,10,700,4000
3,0.858138334984455,1.44764827301084,10,1000,4000
4,0.416268877576766,0.217147240951626,0.5,10,4000
4,0.702743873288802,0.127811109317666,0.5,50,4000
4,0.797503817147837,0.0997877455956775,0.5,150,4000
4,0.747305541984391,0.0905557437493528,0.5,250,4000
4,0.746604238239505,0.0834520501738335,0.5,400,4000
4,0.727450580453855,0.087661127019073,0.5,300,4000
4,0.654493481982942,0.0747986600224627,0.5,800,4000
4,0.76563688485377,0.0763232893550965,0.5,700,4000
4,0.794467943026524,0.072382413650542,0.5,1000,4000
4,0.548188542184005,0.325720861427439,0.75,10,4000
4,0.756752525015427,0.191716663976499,0.75,50,4000
4,0.625035883422681,0.162860430713719,0.75,100,4000
4,0.736630850864138,0.141554374363316,0.75,200,4000
4,0.733840909185125,0.135833615624029,0.75,250,4000
4,0.689450062560833,0.13149169052861,0.75,300,4000
4,0.768557399789603,0.117243746675945,0.75,600,4000
4,0.690489122489073,0.110255288923202,0.75,900,4000
4,0.762328417394911,0.108573620475813,0.75,1000,4000
4,0.53923676028355,0.434294481903252,1,10,4000
4,0.67583083786358,0.217147240951626,1,100,4000
4,0.772353797366888,0.199575491191355,1,150,4000
4,0.661002139022821,0.188739165817755,1,200,4000
4,0.638233248381058,0.175322254038146,1,300,4000
4,0.747106960346598,0.166904100347667,1,400,4000
4,0.62178890456107,0.156324995567926,1,600,4000
4,0.68002711611458,0.152646578710193,1,700,4000
4,0.844241374882658,0.144764827301084,1,1000,4000
4,0.589795961251329,0.542868102379065,1.25,10,4000
4,0.828270212739706,0.319527773294164,1.25,50,4000
4,0.808166728955241,0.249469363989194,1.25,150,4000
4,0.783688620013881,0.226389359373382,1.25,250,4000
4,0.736063736552581,0.201138990617503,1.25,500,4000
4,0.711208603402466,0.195406244459908,1.25,600,4000
4,0.691737343699506,0.190808223387741,1.25,700,4000
4,0.878688008146865,0.180956034126355,1.25,1000,4000
4,0.558321433683899,0.651441722854878,1.5,10,4000
4,0.773114382450322,0.383433327952997,1.5,50,4000
4,0.80072045357448,0.299363236787033,1.5,150,4000
4,0.727666689167717,0.271667231248058,1.5,250,4000
4,0.671347235491244,0.241366788741004,1.5,500,4000
4,0.786068559542875,0.250356150521501,1.5,400,4000
4,0.615899324760949,0.228969868065289,1.5,700,4000
4,0.763399950905628,0.224395980067388,1.5,800,4000
4,0.83397805568821,0.217147240951626,1.5,1000,4000
4,0.606689228208054,0.760015343330691,1.75,10,4000
4,0.855931252413069,0.44733888261183,1.75,50,4000
4,0.80034713735292,0.349257109584871,1.75,150,4000
4,0.706470520569031,0.330293540181071,1.75,200,4000
